dataset_title,id,image_filename,organ,disease_state,oncotree_code,species,patient,st_technology,data_publication_date,license,study_link,download_page_link1,inter_spot_dist,spot_diameter,spots_under_tissue,preservation_method,nb_genes,treatment_comment,pixel_size_um_embedded,pixel_size_um_estimated,magnification,fullres_px_width,fullres_px_height,tissue,disease_comment,subseries,hest_version_added
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA98,SPA98.tif,Breast,Cancer,IDC,Homo sapiens,BC23903,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,441,,17824,,,0.6893704245937597,20x,9310,9910,Breast,HER2_non_luminal,BC23903_C1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA97,SPA97.tif,Breast,Cancer,IDC,Homo sapiens,BC23903,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,468,,18263,,,0.6885558813032887,20x,9326,9863,Breast,HER2_non_luminal,BC23903_C2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA96,SPA96.tif,Breast,Cancer,IDC,Homo sapiens,BC23903,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,464,,17973,,,0.6896773135380144,20x,9309,9861,Breast,HER2_non_luminal,BC23903_D1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA95,SPA95.tif,Breast,Cancer,IDC,Homo sapiens,BC24044,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,614,,17653,,,0.686924148,20x,9301,9869,Breast,HER2_non_luminal,BC24044_D2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA94,SPA94.tif,Breast,Cancer,IDC,Homo sapiens,BC24044,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,603,,17509,,,0.6871489949929643,20x,9314,9873,Breast,HER2_non_luminal,BC24044_E1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA93,SPA93.tif,Breast,Cancer,IDC,Homo sapiens,BC24044,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,511,,17570,,,0.6872467435911152,20x,9319,9889,Breast,HER2_non_luminal,BC24044_E2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA92,SPA92.tif,Breast,Cancer,IDC,Homo sapiens,BC24105,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,325,,18015,,,0.6785405080326659,20x,9303,9854,Breast,HER2_non_luminal,BC24105_C1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA91,SPA91.tif,Breast,Cancer,IDC,Homo sapiens,BC24105,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,297,,18036,,,0.6859842113157717,20x,9323,9846,Breast,HER2_non_luminal,BC24105_C2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA90,SPA90.tif,Breast,Cancer,IDC,Homo sapiens,BC24105,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,338,,17864,,,0.685626992,20x,9325,9888,Breast,HER2_non_luminal,BC24105_D1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA89,SPA89.tif,Breast,Cancer,IDC,Homo sapiens,BC23268,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,435,,17546,,,0.691228392,20x,9344,9892,Breast,Luminal_A,BC23268_C1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA88,SPA88.tif,Breast,Cancer,IDC,Homo sapiens,BC23268,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,498,,17467,,,0.6852730259878831,20x,9291,9908,Breast,Luminal_A,BC23268_C2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA87,SPA87.tif,Breast,Cancer,IDC,Homo sapiens,BC23268,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,492,,17417,,,0.6835950828838029,20x,9290,9892,Breast,Luminal_A,BC23268_D1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA86,SPA86.tif,Breast,Cancer,IDC,Homo sapiens,BC23269,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,434,,17779,,,0.6870000009775035,20x,9317,9920,Breast,Luminal_A,BC23269_C1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA85,SPA85.tif,Breast,Cancer,IDC,Homo sapiens,BC23269,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,435,,18371,,,0.6855162414473874,20x,9293,9947,Breast,Luminal_A,BC23269_C2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA84,SPA84.tif,Breast,Cancer,IDC,Homo sapiens,BC23269,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,433,,17576,,,0.6859224872805044,20x,9320,9874,Breast,Luminal_A,BC23269_D1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA83,SPA83.tif,Breast,Cancer,IDC,Homo sapiens,BC23272,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,565,,17724,,,0.6834481149299398,20x,9343,9900,Breast,Luminal_A,BC23272_D2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA82,SPA82.tif,Breast,Cancer,IDC,Homo sapiens,BC23272,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,578,,17593,,,0.6899187599598791,20x,9278,9915,Breast,Luminal_A,BC23272_E1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA81,SPA81.tif,Breast,Cancer,IDC,Homo sapiens,BC23272,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,548,,17627,,,0.6871747086591405,20x,9331,9914,Breast,Luminal_A,BC23272_E2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA80,SPA80.tif,Breast,Cancer,IDC,Homo sapiens,BC24223,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,368,,17428,,,0.6848928919659037,20x,9351,9896,Breast,Luminal_A,BC24223_D2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA79,SPA79.tif,Breast,Cancer,IDC,Homo sapiens,BC24223,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,362,,17668,,,0.687553217,20x,9323,9861,Breast,Luminal_A,BC24223_E1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA78,SPA78.tif,Breast,Cancer,IDC,Homo sapiens,BC24223,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,363,,17751,,,0.6847097920585585,20x,9346,9889,Breast,Luminal_A,BC24223_E2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA77,SPA77.tif,Breast,Cancer,IDC,Homo sapiens,BC23270,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,284,,17940,,,0.6835970183936797,20x,9293,9894,Breast,Luminal_B,BC23270_D2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA76,SPA76.tif,Breast,Cancer,IDC,Homo sapiens,BC23270,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,283,,18081,,,0.6711664349890365,20x,9278,9865,Breast,Luminal_B,BC23270_E1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA75,SPA75.tif,Breast,Cancer,IDC,Homo sapiens,BC23270,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,284,,18373,,,0.6865590620440102,20x,9301,9866,Breast,Luminal_B,BC23270_E2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA74,SPA74.tif,Breast,Cancer,IDC,Homo sapiens,BC23277,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,506,,18191,,,0.6862574757024062,20x,9334,9891,Breast,Luminal_B,BC23277_D2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA73,SPA73.tif,Breast,Cancer,IDC,Homo sapiens,BC23277,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,513,,18426,,,0.6739242875938333,20x,9310,9906,Breast,Luminal_B,BC23277_E1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA72,SPA72.tif,Breast,Cancer,IDC,Homo sapiens,BC23277,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,566,,18853,,,0.6730467295775353,20x,9341,9930,Breast,Luminal_B,BC23277_E2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA71,SPA71.tif,Breast,Cancer,IDC,Homo sapiens,BC23506,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,489,,19017,,,0.6967036119639562,20x,9309,9905,Breast,Luminal_B,BC23506_C1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA70,SPA70.tif,Breast,Cancer,IDC,Homo sapiens,BC23506,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,502,,19088,,,0.7033720742830405,20x,9309,9907,Breast,Luminal_B,BC23506_C2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA69,SPA69.tif,Breast,Cancer,IDC,Homo sapiens,BC23506,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,482,,18606,,,0.6996263501985984,20x,9307,9925,Breast,Luminal_B,BC23506_D1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA68,SPA68.tif,Breast,Cancer,IDC,Homo sapiens,BC23508,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,478,,18787,,,0.683692405,20x,9319,9925,Breast,Luminal_B,BC23508_D2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA67,SPA67.tif,Breast,Cancer,IDC,Homo sapiens,BC23508,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,473,,18663,,,0.686765083,20x,9302,9895,Breast,Luminal_B,BC23508_E1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA66,SPA66.tif,Breast,Cancer,IDC,Homo sapiens,BC23508,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,504,,18535,,,0.682772407,20x,9346,9897,Breast,Luminal_B,BC23508_E2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA65,SPA65.tif,Breast,Cancer,IDC,Homo sapiens,BC23895,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,498,,17686,,,0.6865358682416505,20x,9315,9923,Breast,Luminal_B,BC23895_C1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA64,SPA64.tif,Breast,Cancer,IDC,Homo sapiens,BC23895,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,454,,17630,,,0.6875974037220364,20x,9337,9885,Breast,Luminal_B,BC23895_C2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA63,SPA63.tif,Breast,Cancer,IDC,Homo sapiens,BC23895,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,518,,17402,,,0.6899791910886153,20x,9326,9916,Breast,Luminal_B,BC23895_D1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA62,SPA62.tif,Breast,Cancer,IDC,Homo sapiens,BC23209,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,294,,16859,,,0.6913339441869983,20x,9299,9871,Breast,TNBC,BC23209_C1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA61,SPA61.tif,Breast,Cancer,IDC,Homo sapiens,BC23209,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,318,,18356,,,0.6843957213495024,20x,9286,9852,Breast,TNBC,BC23209_C2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA60,SPA60.tif,Breast,Cancer,IDC,Homo sapiens,BC23209,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,331,,18298,,,0.6839240141720617,20x,9286,9866,Breast,TNBC,BC23209_D1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA59,SPA59.tif,Breast,Cancer,IDC,Homo sapiens,BC23288,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,464,,17387,,,0.6862116837143113,20x,9322,9922,Breast,TNBC,BC23288_D2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA58,SPA58.tif,Breast,Cancer,IDC,Homo sapiens,BC23288,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,480,,17641,,,0.6837483935788581,20x,9335,9914,Breast,TNBC,BC23288_E1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA57,SPA57.tif,Breast,Cancer,IDC,Homo sapiens,BC23288,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,478,,17405,,,0.6868638496197923,20x,9364,9909,Breast,TNBC,BC23288_E2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA56,SPA56.tif,Breast,Cancer,IDC,Homo sapiens,BC23377,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,597,,17933,,,0.6843419289075308,20x,9297,9912,Breast,TNBC,BC23377_C1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA55,SPA55.tif,Breast,Cancer,IDC,Homo sapiens,BC23377,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,687,,18306,,,0.6870366466389749,20x,9300,9926,Breast,TNBC,BC23377_C2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA54,SPA54.tif,Breast,Cancer,IDC,Homo sapiens,BC23377,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,601,,17939,,,0.6853187397397702,20x,9308,9917,Breast,TNBC,BC23377_D1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA53,SPA53.tif,Breast,Cancer,IDC,Homo sapiens,BC23803,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,402,,19729,,,0.6827066020493165,20x,9296,9888,Breast,TNBC,BC23803_D2,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA52,SPA52.tif,Breast,Cancer,IDC,Homo sapiens,BC23803,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,340,,18871,,,0.6887120841486446,20x,9310,9891,Breast,TNBC,BC23803_E1,v1_0_0
Integrating spatial gene expression and breast tumour morphology via deep learning,SPA51,SPA51.tif,Breast,Cancer,IDC,Homo sapiens,BC23803,Spatial Transcriptomics,30-Nov-21,CC BY 4.0,https://www.science.org/doi/10.1126/science.aaf2403,https://data.mendeley.com/datasets/29ntw7sh4r/5,200,100,421,,19119,,,0.6861319493631892,20x,9313,9898,Breast,TNBC,BC23803_E2,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA48,SPA48.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,55,Snap Frozen,39739,,,0.8480053072239024,20x,9830,8602,Heart,4.5-5 Post Conception Week,ST_Sample_4.5-5PCW_1,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA47,SPA47.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,59,Snap Frozen,39739,,,0.9131808070719382,20x,9830,8602,Heart,4.5-5 Post Conception Week,ST_Sample_4.5-5PCW_2,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA46,SPA46.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,69,Snap Frozen,39739,,,0.9310174672808034,20x,9830,8602,Heart,4.5-5 Post Conception Week,ST_Sample_4.5-5PCW_3,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA45,SPA45.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,55,Snap Frozen,39739,,,0.9358170739262388,20x,9830,8602,Heart,4.5-5 Post Conception Week,ST_Sample_4.5-5PCW_4,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA44,SPA44.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,103,Snap Frozen,39739,,,0.8172272375061621,20x,9830,8602,Heart,6.5 Post Conception Week,ST_Sample_6.5PCW_1,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA43,SPA43.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,104,Snap Frozen,39739,,,0.7782704994077108,20x,9830,8602,Heart,6.5 Post Conception Week,ST_Sample_6.5PCW_2,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA42,SPA42.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,159,Snap Frozen,39739,,,0.7620876322665333,20x,9830,8602,Heart,6.5 Post Conception Week,ST_Sample_6.5PCW_3,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA41,SPA41.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,186,Snap Frozen,39739,,,0.8131830374581599,20x,9830,8602,Heart,6.5 Post Conception Week,ST_Sample_6.5PCW_4,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA40,SPA40.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,214,Snap Frozen,39739,,,0.7914243003578646,20x,9830,8602,Heart,6.5 Post Conception Week,ST_Sample_6.5PCW_5,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA39,SPA39.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,209,Snap Frozen,39739,,,0.8867656685443837,20x,9830,8755,Heart,6.5 Post Conception Week,ST_Sample_6.5PCW_6,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA38,SPA38.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,178,Snap Frozen,39739,,,0.87280073,20x,9830,8602,Heart,6.5 Post Conception Week,ST_Sample_6.5PCW_7,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA37,SPA37.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,182,Snap Frozen,39739,,,0.9200899305096795,20x,9830,8602,Heart,6.5 Post Conception Week,ST_Sample_6.5PCW_8,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA36,SPA36.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,180,Snap Frozen,39739,,,0.9222958906532742,20x,9830,8602,Heart,6.5 Post Conception Week,ST_Sample_6.5PCW_9,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA35,SPA35.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,238,Snap Frozen,39739,,,0.9084166560630419,20x,9830,8602,Heart,9 Post Conception Week,ST_Sample_9PCW_1,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA34,SPA34.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,242,Snap Frozen,39739,,,0.8994649937661777,20x,9830,8602,Heart,9 Post Conception Week,ST_Sample_9PCW_2,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA33,SPA33.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,243,Snap Frozen,39739,,,0.8655214311695171,20x,9830,8602,Heart,9 Post Conception Week,ST_Sample_9PCW_3,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA32,SPA32.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,226,Snap Frozen,39739,,,0.8626038507937527,20x,9830,8602,Heart,9 Post Conception Week,ST_Sample_9PCW_4,v1_0_0
A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,SPA31,SPA31.tif,Heart,Healthy,,Homo sapiens,,Spatial Transcriptomics,16-Dec-19,CC BY 4.0,https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,https://data.mendeley.com/datasets/mbvhhf8m62/2,200,100,198,Snap Frozen,39739,,,0.8424702807670841,20x,9830,8602,Heart,9 Post Conception Week,ST_Sample_9PCW_5,v1_0_0
